group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery
m1,m1_random_0,0,1,20250727,5,X,seller,283.3,272,274.2,0.805,14,270,279,1.1769911504424777,0.3805309734513281,-0.7964601769911497
m1,m1_random_0,0,1,20250727,6,Y,buyer,283.3,338,259.0,-0.445,10,150,250,-2.43692870201097,-0.6087751371115177,1.828153564899452
m1,m1_random_0,0,1,20250727,7,Y,buyer,283.3,320,287.5,0.114,16,300,200,0.45504087193460474,-2.269754768392372,-2.724795640326976
m1,m1_random_0,0,1,20250727,8,Y,buyer,283.3,320,200.0,-2.273,6,200,200,-2.269754768392372,-2.269754768392372,0.0
m1,m1_random_1,0,1,20250728,5,X,seller,283.3,272,269.6,1.209,11,250,275,2.946902654867255,0.7345132743362834,-2.212389380530971
m1,m1_random_1,0,1,20250728,6,Y,buyer,283.3,345,294.2,0.176,19,250,315,-0.5397082658022694,0.5137763371150729,1.0534846029173421
m1,m1_random_1,0,1,20250728,7,Y,buyer,283.3,320,289.9,0.18,18,290,293,0.1825613079019071,0.2643051771117164,0.08174386920980929
m1,m1_random_1,0,1,20250728,8,X,seller,283.3,262,277.4,0.279,13,250,283,1.5633802816901405,0.014084507042254047,-1.5492957746478866
m1,m1_random_2,0,1,20250729,5,Y,buyer,283.3,320,284.1,0.02,15,280,284,-0.08991825613079053,0.019073569482288524,0.10899182561307905
m1,m1_random_2,0,1,20250729,6,Y,buyer,283.3,286,271.3,-4.5,12,270,274,-4.9259259259259505,-3.4444444444444633,1.4814814814814876
m1,m1_random_2,0,1,20250729,7,Y,seller,283.3,262,269.7,0.638,11,265,272,0.8591549295774649,0.5305164319248828,-0.32863849765258196
m1,m1_random_2,0,1,20250729,8,Y,buyer,283.3,348,250.0,-0.515,6,250,250,-0.5146831530139107,-0.5146831530139107,0.0
m2,m2_paper_0,0,2,20250735,7,X,seller,266.7,240,212.0,2.052,22,200,197,2.4981273408239706,2.6104868913857686,0.1123595505617978
m2,m2_paper_0,0,2,20250735,8,Y,buyer,266.7,350,327.7,0.732,24,290,349,0.2797118847539017,0.9879951980792316,0.70828331332533
m2,m2_paper_0,0,2,20250735,9,X,seller,266.7,240,313.8,-1.769,25,348,239,-3.044943820224721,1.0374531835205993,4.08239700374532
m2,m2_paper_0,0,2,20250735,10,Y,buyer,266.7,350,299.6,0.395,20,299,300,0.3877551020408164,0.39975990396158473,0.012004801920768306
m2,m2_paper_0,0,2,20250735,11,Y,buyer,266.7,350,300.3,0.403,21,299,301,0.3877551020408164,0.41176470588235303,0.024009603841536612
m2,m2_paper_1,0,2,20250736,7,X,seller,266.7,240,192.8,2.771,13,180,194,3.247191011235956,2.722846441947566,-0.5243445692883897
m2,m2_paper_1,0,2,20250736,8,Y,buyer,266.7,350,248.2,-0.222,22,300,200,0.39975990396158473,-0.8007202881152459,-1.2004801920768307
m2,m2_paper_1,0,2,20250736,9,X,seller,266.7,240,187.4,2.973,16,150,200,4.370786516853934,2.4981273408239706,-1.8726591760299633
m2,m2_paper_1,0,2,20250736,10,Y,buyer,266.7,350,253.2,-0.162,19,250,250,-0.20048019207683057,-0.20048019207683057,0.0
m2,m2_paper_1,0,2,20250736,11,Y,buyer,266.7,350,238.2,-0.342,20,250,210,-0.20048019207683057,-0.6806722689075628,-0.48019207683073223
m2,m2_random_0,0,2,20250737,7,Y,buyer,266.7,350,264.7,-0.023,18,300,200,0.39975990396158473,-0.8007202881152459,-1.2004801920768307
m2,m2_random_0,0,2,20250737,8,X,seller,266.7,240,272.9,-0.233,23,250,200,0.6254681647940074,2.4981273408239706,1.8726591760299633
m2,m2_random_0,0,2,20250737,9,Y,buyer,266.7,350,270.0,0.04,16,270,270,0.03961584633853554,0.03961584633853554,0.0
m2,m2_random_0,0,2,20250737,10,Y,buyer,266.7,350,282.9,0.195,19,270,310,0.03961584633853554,0.5198079231692678,0.48019207683073223
m2,m2_random_0,0,2,20250737,11,Y,buyer,266.7,350,279.8,0.157,20,295,290,0.3397358943577432,0.2797118847539017,-0.06002400960384153
m2,m2_random_1,0,2,20250738,7,X,seller,266.7,240,291.6,-0.936,16,294,290,-1.0224719101123605,-0.8726591760299633,0.14981273408239706
m2,m2_random_1,0,2,20250738,8,Y,buyer,266.7,350,311.0,0.531,21,250,315,-0.20048019207683057,0.5798319327731093,0.7803121248499398
m2,m2_random_1,0,2,20250738,9,Y,buyer,266.7,350,325.3,0.703,19,300,330,0.39975990396158473,0.7599039615846339,0.3601440576230492
m2,m2_random_1,0,2,20250738,10,Y,buyer,266.7,350,331.9,0.783,24,340,292,0.879951980792317,0.3037214885954383,-0.5762304921968787
m2,m2_random_1,0,2,20250738,11,Y,buyer,266.7,350,333.6,0.803,20,340,345,0.879951980792317,0.9399759903961584,0.06002400960384153
m2,m2_random_2,0,2,20250739,7,X,seller,266.7,240,228.3,1.439,24,200,210,2.4981273408239706,2.123595505617978,-0.37453183520599265
m2,m2_random_2,0,2,20250739,8,X,seller,266.7,240,192.5,2.78,13,150,198,4.370786516853934,2.5730337078651693,-1.7977528089887649
m2,m2_random_2,0,2,20250739,9,Y,buyer,266.7,350,291.7,0.3,18,300,300,0.39975990396158473,0.39975990396158473,0.0
m2,m2_random_2,0,2,20250739,10,Y,buyer,266.7,350,270.8,0.049,26,299,200,0.3877551020408164,-0.8007202881152459,-1.1884753901560623
m2,m2_random_2,0,2,20250739,11,Y,buyer,266.7,350,260.3,-0.077,19,290,200,0.2797118847539017,-0.8007202881152459,-1.0804321728691475
m3,m3_gem_paper,0,3,20250745,3,Y,seller,220.0,175,156.3,1.416,20,130,165,2.0,1.2222222222222223,-0.7777777777777778
m3,m3_gem_paper,0,3,20250745,4,X,buyer,220.0,400,230.0,0.055,27,130,299,-0.5,0.4388888888888889,0.9388888888888889
m3,m3_gem_paper,0,3,20250745,5,Y,seller,220.0,175,163.0,1.267,23,130,175,2.0,1.0,-1.0
